Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time	Num_features(match)
1	0.0227039	0.0313749	0.428064	0.776296	1.25878	416	
2	0.0227311	0.032728	0.432764	0.781091	1.26973	413	
3	0.0270331	0.030623	0.351672	0.644744	1.05436	287	
4	0.024765	0.032702	0.38672	0.716132	1.16068	329	
5	0.0245941	0.0318408	0.374966	0.695643	1.1274	300	
6	0.0246639	0.0315731	0.394113	0.732648	1.18346	305	
7	0.0243061	0.033123	0.371058	0.664463	1.09335	252	
8	0.0248661	0.0306849	0.399634	0.7189	1.17451	281	
9	0.0244808	0.0302901	0.326196	0.580602	0.9619	218	
